Time,UTC_TIME,Open,High,Low,Close,Volume,CANDLE_TYPE
2025-12-04 16:20:00,2025-12-04 10:50:00,143.44,143.49,143.31,143.45,1815.228,Bullish
2025-12-04 16:25:00,2025-12-04 10:55:00,143.45,143.46,143.29,143.34,1326.515,Bearish
2025-12-04 16:30:00,2025-12-04 11:00:00,143.34,143.37,143.13,143.18,1866.748,Bearish
2025-12-04 16:35:00,2025-12-04 11:05:00,143.18,143.38,143.04,143.33,4137.824,Bullish
2025-12-04 16:40:00,2025-12-04 11:10:00,143.33,143.47,143.27,143.32,2239.074,Bearish
2025-12-04 16:45:00,2025-12-04 11:15:00,143.32,143.42,143.23,143.37,1199.738,Bullish
2025-12-04 16:50:00,2025-12-04 11:20:00,143.37,143.37,143.03,143.19,2344.456,Bearish
2025-12-04 16:55:00,2025-12-04 11:25:00,143.19,143.33,143.05,143.31,3062.661,Bullish
2025-12-04 17:00:00,2025-12-04 11:30:00,143.31,143.5,142.81,142.85,4371.744,Bearish
2025-12-04 17:05:00,2025-12-04 11:35:00,142.85,143.13,142.81,142.88,3712.623,Bullish
2025-12-04 17:10:00,2025-12-04 11:40:00,142.88,142.91,142.7,142.91,3627.585,Bullish
2025-12-04 17:15:00,2025-12-04 11:45:00,142.91,142.99,142.75,142.96,3210.064,Bullish
2025-12-04 17:20:00,2025-12-04 11:50:00,142.96,143.15,142.95,143.11,1561.377,Bullish
2025-12-04 17:25:00,2025-12-04 11:55:00,143.11,143.17,142.98,143.05,1352.449,Bearish
2025-12-04 17:30:00,2025-12-04 12:00:00,143.05,143.49,143.03,143.39,2051.009,Bullish
2025-12-04 17:35:00,2025-12-04 12:05:00,143.39,143.5,143.18,143.29,1857.284,Bearish
2025-12-04 17:40:00,2025-12-04 12:10:00,143.29,143.29,143.09,143.12,2171.724,Bearish
2025-12-04 17:45:00,2025-12-04 12:15:00,143.12,143.22,142.66,142.7,2173.946,Bearish
2025-12-04 17:50:00,2025-12-04 12:20:00,142.7,142.71,142.44,142.62,4850.435,Bearish
2025-12-04 17:55:00,2025-12-04 12:25:00,142.62,142.62,142.4,142.53,3554.732,Bearish
2025-12-04 18:00:00,2025-12-04 12:30:00,142.53,142.73,142.52,142.72,3085.535,Bullish
2025-12-04 18:05:00,2025-12-04 12:35:00,142.72,142.98,142.7,142.93,2142.418,Bullish
2025-12-04 18:10:00,2025-12-04 12:40:00,142.93,143.34,142.92,143.08,2090.682,Bullish
2025-12-04 18:15:00,2025-12-04 12:45:00,143.08,143.21,142.76,142.81,1865.786,Bearish
2025-12-04 18:20:00,2025-12-04 12:50:00,142.81,143.05,142.81,142.91,1089.726,Bullish
2025-12-04 18:25:00,2025-12-04 12:55:00,142.91,143.03,142.8,142.87,1455.474,Bearish
2025-12-04 18:30:00,2025-12-04 13:00:00,142.87,143.1,142.38,142.43,4940.51,Bearish
2025-12-04 18:35:00,2025-12-04 13:05:00,142.43,142.71,142.34,142.46,3083.445,Bullish
2025-12-04 18:40:00,2025-12-04 13:10:00,142.46,142.65,142.29,142.32,4036.348,Bearish
2025-12-04 18:45:00,2025-12-04 13:15:00,142.32,142.7,142.32,142.68,3439.783,Bullish
2025-12-04 18:50:00,2025-12-04 13:20:00,142.68,143.01,142.63,142.95,2682.859,Bullish
2025-12-04 18:55:00,2025-12-04 13:25:00,142.95,143.17,142.8,142.84,2580.174,Bearish
2025-12-04 19:00:00,2025-12-04 13:30:00,142.84,143.07,142.68,142.7,4056.333,Bearish
2025-12-04 19:05:00,2025-12-04 13:35:00,142.7,142.7,142.38,142.61,6078.263,Bearish
2025-12-04 19:10:00,2025-12-04 13:40:00,142.61,142.84,142.27,142.3,1756.493,Bearish
2025-12-04 19:15:00,2025-12-04 13:45:00,142.3,142.3,141.82,141.89,9932.093,Bearish
2025-12-04 19:20:00,2025-12-04 13:50:00,141.89,142.15,141.79,142.15,11167.635,Bullish
2025-12-04 19:25:00,2025-12-04 13:55:00,142.15,142.48,142.13,142.25,1837.659,Bullish
2025-12-04 19:30:00,2025-12-04 14:00:00,142.25,142.43,142.14,142.14,2228.247,Bearish
2025-12-04 19:35:00,2025-12-04 14:05:00,142.14,142.78,142.14,142.63,2772.663,Bullish
2025-12-04 19:40:00,2025-12-04 14:10:00,142.63,142.68,142.35,142.58,1954.943,Bearish
